Rank,Document 1,Document 2,Cosine Similarity
1,document_1,document_4,0.1629
2,document_1,document_6,0.1521
3,document_7,document_8,0.1520
4,document_1,document_3,0.1384
5,document_1,document_7,0.1374
6,document_3,document_7,0.1313
7,document_4,document_7,0.1237
8,document_1,document_5,0.1157
9,document_5,document_6,0.1084
10,document_6,document_7,0.1049
11,document_4,document_5,0.1031
12,document_4,document_6,0.1020
13,document_5,document_7,0.1017
14,document_3,document_8,0.0957
15,document_3,document_4,0.0899
16,document_3,document_5,0.0893
17,document_1,document_8,0.0873
18,document_2,document_5,0.0859
19,document_3,document_6,0.0836
20,document_2,document_4,0.0809
21,document_2,document_7,0.0789
22,document_2,document_3,0.0717
23,document_5,document_8,0.0683
24,document_6,document_8,0.0622
25,document_4,document_8,0.0570
26,document_1,document_2,0.0458
27,document_2,document_6,0.0452
28,document_2,document_8,0.0334
